platform,author,title,content,rating,version,vote_sum,vote_count,updated,review_id,country
appstore,정원재.,소감,",무음삭제가 너무좋고요
아직은 아쉬운점 없어요",5,0.5.7,0,0,2020-11-22T05:28:10-07:00,6673560359,kr
appstore,xx TAE KING xx,최고입니다,정말 유튜버 하는 분들은 강추입니다,5,0.5.6,0,0,2020-11-06T20:07:13-07:00,6617343301,kr
appstore,잇뷘,왜 갑자기 자막수정이 안될까요?,"어플 설치하고 처음 시험삼아 영상 불러왔을 때는 분명 자막을 수정할 수 있었던 것 같은데
오늘 제대로 자막 넣으려고 했더니 갑자기 자막 수정이 처음 부터 안됐던 것처럼 키보드조차 올라오지 않네요ㅠ 혹시 영상 길이 제한이 있나 싶어서 1분짜리 짧은 영상도 열어봤는데 수정이 안돼요...
답답하네요ㅜ 버그인지 뭔지ㅜㅜ
ios14로 최근에 업그레이드 한 거 때문에 호환이 안되는 건가요??",4,0.5.3,0,0,2020-09-26T07:26:56-07:00,6470796703,kr
appstore,정선쌤,안드로이드 버젼은?,언제쯤 나오나요?,5,0.5.2,0,0,2020-09-23T13:47:25-07:00,6461163656,kr
appstore,블루블루쿠키!,딱 한 가지 아쉬운 점,"Vrew를 아주 유용하게 쓰고 있는 유튜버입니다.제가 유튜브를 하다 보니 영상에 인트로,아웃트로를 넣어야합니다.그런데 배경음악을 넣으면 인트로,아웃트로의 배경음악과 겹치더군요.그래서 결론은 특정 구간에만 배경음악을 넣을 수 있는 기능을 추가해주셨음합니다!",5,0.4.8,0,0,2020-09-15T15:27:08-07:00,6432984757,kr
appstore,드리머황,정말 초 슈퍼 울트라 캡숑 나이스 짱 어플입니다. 초 강추합니다.,"진심으로 감사드립니다. 

흥하세요^**",5,0.4.8,0,0,2020-08-25T04:18:17-07:00,6358952997,kr
appstore,곤둔아,정말 잘쓰고 있어요,"말자막 쓰는 영상에는 최고라서 블로그 리뷰로도 홍보 많이 하고 있습니다
그런데 혹시 유튜브자체 자막처럼 기존에 문서화된 스크립트를 한번에 입력해서 싱크 맞춰 자막만드는 기능을 추가하실 계획은 없으신지요? 
대본을 읽는 영상의 경우 이렇게 가능하면 정말 좋을 것 같아요.
그리고 유료화 좀 하시길... 그냥 쓰기 미안해요",5,0.4.8,0,0,2020-08-22T09:48:42-07:00,6349275057,kr
appstore,심외,자막 제작 어플중에 최고예요!,"지금까지 써 본 어플중에 가장 좋습니다. 익스포트 되는 것도 좋구요. 
다만 자막구간이 3초로 지정되어 나눠지는게 조금 불편해요. 타임을 사용자가 임의로 찍을 수 있었으면 좋겠어요. 
어플 사용하는 중에는 블루투스 키보드를 연결해서 작업하는데 만약 단축키로  스타트타임만 찍을 수 있어도 아주 좋을 것 같습니다. 더 많은 언어팩을 위해서 유료결제할 의사도 충분하니 많은 발전과 업데이트 바랍니다^^",5,0.4.6,0,0,2020-08-10T07:33:18-07:00,6302675963,kr
appstore,weooslsls,내보내기를 누르면 미디어를 디코드할수없고 손상되었을수 있다고 뜹니다,어떻게 해야하나요?,5,0.4.6,0,0,2020-08-02T01:00:37-07:00,6270275267,kr
appstore,바당구,이런게 인공지능이죠 와대박,"영상디자인을 전공해서 사회에 나왔더니 ㅎ정말 방송국에 오래된 편집기들,시간낭비 속에서 거꾸로 돌아간다는 느낌을 지울수가없었어요 영상툴의 발전과정,?역사?를 생각하게되고.이건 더이상
밥벌어먹을 기술이 아니구나 깨닫게되었죠. 이런게 나올거라 생각은했지만 정말 직관적으로 잘만들었네요.디테일이 미침.딥러닝 진심 배우고싶다.",5,0.4.2,1,1,2020-06-17T06:19:46-07:00,6087295405,kr
appstore,swi5154,잘 사용하고 있습니다,그런데 지원언어가 부족해요ㅠㅠ 중국어 추가해주실계획 있나요??,5,0.3.7,0,0,2020-05-24T02:54:44-07:00,5987245957,kr
appstore,지나가는 작가,인생 최고의 앱,"처음으로 글 남깁니다.
지금까지 본 최고의 앱입니다.
가끔 취미로 번역 작업하는데 이보다 더 편한 앱을 본 적이 없네요.
기능은 물론 사용자 편의성이 환상적입니다.
이걸 무료로 풀어주시니 개발자 님께 정말 감사할 따름입니다.
피드백도 해주시고 의견도 반영해 주시는 개발자님께 다시 한 번 감사드립니다.
저도 개발자로서 약 10년 정도 일했는데, 진심 존경합니다^^
화이링~",5,0.3.7,0,0,2020-05-22T07:24:09-07:00,5979392855,kr
appstore,SUEIEL,"아이패드에서 써 봤는데요, 자막이 뜨는 초단위 시간을 편집하는 건 안되네요?",약간의 오류가 있어서 수정을 하는데 자막 시간 편집이 안되네요.,3,0.3.5,0,0,2020-05-18T21:46:52-07:00,5964050229,kr
appstore,매봉사나이,정말 필요한 프로그램 입니다..최고,"우연히 발견을 했는데 정말 좋네요. 최고입니다
UI부터 거부감이 없고 자막편집이 너무편리합니다",5,0.3.4,0,0,2020-05-09T03:47:03-07:00,5923026736,kr
appstore,Whitedimmer,해상도 설정,사용자가 직접 해상도를 설정할 수 있게 해주시면 좋겠습니다. 1080p 또는 60프레임도 프레임도 설정할수 있게 해주시면 정말 감사하겠고요.,4,0.3.4,0,0,2020-05-08T07:21:26-07:00,5919422515,kr
appstore,아이폰X씁니다,씽크가 안맞아요ㅠㅠㅠㅠ,"13분 영상 자막 다 썼는데...
익스포트 하니까 씽크가 안맞아요
와 어떻게 해야하나요...",1,0.3.3,0,0,2020-05-02T08:22:21-07:00,5893590192,kr
appstore,syxa51,영상내보내기,아무리 좋은 프로그램이라도 내보내기가 안되서 사용이 안되면 무용지물인것 같네요 영상내보내기를 누르면 계속 멈춰서 한시간이고 두시간이고 진행이 안됩니다,1,0.3.3,0,0,2020-04-27T18:27:33-07:00,5873053699,kr
appstore,아뚱2,혹시 자막 익스포트는 안되나요?,"어플로 편집했을 때 동영상만 내보낼 수 있는데
피씨버전에서는 srt 파일로 익스포트가 되더라구요! 
한글은 본 앱으로 편집하고 다른 나라 언어는 srt 파일로 익스포트 후 유튭에서 불러오고 싶습니다 ㅜㅜ 피씨버전만 가능한 기능인가요!?",5,0.3.1,0,0,2020-04-18T00:44:40-07:00,5828501095,kr
appstore,중.복.노우!,혹시 다른 언어 더 추가될 계획이 있나욥??,"독일어가 필요해서 그런데...
추가될 계획이 있는지,
언제쯤은 가능할거 같다라는 것이 있을까욥?

앱은 정말 기똥차게 좋아욥!!!",5,0.3.1,0,0,2020-04-12T01:29:26-07:00,5799924705,kr
appstore,죠아혈,싱크가 안 맞아서 리뷰 올렸는데,빠른 답변과 전화받는 분의 태도...!!👍🏻리뷰를 다시 쓰게 만드네요!! 보안점 잘 수정되서 넘버원 자막프로그램이 되시길..!!!,5,0.2.0,0,1,2020-03-03T00:50:29-07:00,5609727950,kr
appstore,홈런날려버렷,선생님 제발 중국어도 부탁드려요 ㅜㅠㅜ,제발요 ㅜㅠㅜㅠㅜ 일본어 써보고 매력에 퐁당 빠졌단 말이이죠 ㅜㅠㅜㅜ 살려주세요 ㅜㅜ 중국어 공부에 꼬옥 필요합니다 ㅜㅜ,5,0.2.0,0,0,2020-03-02T00:26:02-07:00,5605272761,kr
appstore,토바로바,영어자막 내보내기 오류,"영어자막을 내보내면 첫자막에서 다음 자막으로 안넘어가요 ㅠ
한국 자막은 잘만되는데 ㅜㅜ",3,0.2.0,0,0,2020-03-01T04:51:46-07:00,5601502229,kr
appstore,메인스트1234567,컨셉은 너무 멋져요!,다만 음성인식이 아직 부족해 보이네요^^하지만 점점 좋어지겠죠? 응원합니다!,4,0.1.1,0,0,2020-02-24T02:34:26-07:00,5573745974,kr
appstore,이달소만바라바,스마트폰에서,스마트폰에서 가장 빠르게 자막 컷편집을 하는 솔루션입니다.,5,0.1.1,0,0,2020-02-22T00:13:45-07:00,5564396895,kr
